sex,age,juv_fel_count,juv_misd_count,priors_count,c_charge_degree,is_recid,African-American,Asian,Caucasian,Hispanic,Native American,Other,probability
1,34,0,0,1,0,0,0,1,0,0,0,0,0.125
0,42,0,0,0,0,0,1,0,0,0,0,0,0.6143809523809524
1,53,0,0,4,0,1,0,0,1,0,0,0,0.31
0,55,0,0,0,0,0,0,0,0,1,0,0,0.34
0,31,0,0,0,0,0,1,0,0,0,0,0,0.378095238095238
0,42,0,0,1,1,0,0,0,1,0,0,0,0.16
0,21,0,0,1,0,0,0,0,0,1,0,0,0.1465438662644545
0,22,0,0,5,0,1,0,0,1,0,0,0,1.0
0,29,0,0,7,1,1,0,0,1,0,0,0,0.9456666666666668
1,75,0,0,5,0,0,1,0,0,0,0,0,0.13833333333333334
1,25,0,0,7,0,1,1,0,0,0,0,0,0.9742857142857143
0,22,0,0,1,0,1,1,0,0,0,0,0,0.6961177123530067
0,27,0,0,1,0,0,1,0,0,0,0,0,0.604857142857143
0,37,0,0,0,0,0,0,0,1,0,0,0,0.37021031746031746
0,37,0,0,0,1,1,0,0,1,0,0,0,0.047
0,27,0,0,3,1,0,0,0,1,0,0,0,0.565
1,32,0,0,3,1,0,1,0,0,0,0,0,0.41
0,25,0,0,0,1,1,0,0,1,0,0,0,0.05878571428571429
0,53,0,0,4,0,0,0,0,1,0,0,0,0.9043333333333333
0,28,0,0,1,0,0,1,0,0,0,0,0,0.6691666666666667
0,32,0,0,3,0,0,1,0,0,0,0,0,0.925
0,22,0,1,1,0,1,0,0,1,0,0,0,0.841313492063492
0,27,0,0,0,0,0,1,0,0,0,0,0,0.48219444444444437
0,31,0,0,4,0,1,0,0,1,0,0,0,0.7423333333333332
0,21,0,2,2,0,1,0,0,1,0,0,0,0.91
1,48,0,0,18,0,1,1,0,0,0,0,0,0.95
0,41,0,0,0,0,0,1,0,0,0,0,0,0.038
0,44,0,0,0,1,1,0,0,0,1,0,0,0.01
0,33,0,0,4,0,0,0,0,1,0,0,0,0.4599166666666666
0,46,0,0,0,1,0,0,0,0,1,0,0,0.3358333333333334
0,23,0,0,2,0,0,0,0,0,1,0,0,0.2316666666666667
0,57,0,0,15,0,0,0,0,1,0,0,0,0.79
1,43,0,0,0,0,0,1,0,0,0,0,0,0.26
0,31,0,0,1,1,0,0,0,0,1,0,0,0.26566666666666666
0,52,0,0,2,0,0,0,0,1,0,0,0,0.8183333333333331
1,26,0,0,1,0,1,1,0,0,0,0,0,0.03233333333333333
1,50,0,0,3,0,1,0,0,1,0,0,0,0.295
0,30,0,0,2,0,0,0,0,1,0,0,0,0.025
0,21,0,0,0,0,1,0,0,1,0,0,0,1.0
0,39,0,0,3,1,1,1,0,0,0,0,0,0.5469999999999999
0,22,0,0,5,0,1,1,0,0,0,0,0,0.9668095238095237
0,36,0,1,26,0,1,0,0,0,1,0,0,0.89
0,29,0,0,0,1,0,1,0,0,0,0,0,0.33324972249972235
0,47,0,0,14,1,0,1,0,0,0,0,0,0.57
1,24,0,0,0,0,0,1,0,0,0,0,0,0.46624603174603174
0,43,0,0,1,0,0,0,0,1,0,0,0,0.176
1,23,0,0,0,1,1,1,0,0,0,0,0,0.04
0,21,0,0,3,0,1,1,0,0,0,0,0,0.9779166666666668
0,24,0,0,1,0,1,0,0,0,1,0,0,0.14366666666666666
1,45,0,0,2,0,0,1,0,0,0,0,0,0.72
0,25,0,0,0,1,1,1,0,0,0,0,0,0.2711494061494061
0,30,0,0,3,1,1,0,0,1,0,0,0,0.3241666666666667
0,38,0,0,1,0,1,0,0,0,0,0,1,0.215
1,21,0,0,0,0,0,1,0,0,0,0,0,0.96
0,37,0,0,3,0,0,1,0,0,0,0,0,0.31683333333333324
0,60,0,0,12,0,0,1,0,0,0,0,0,0.57
0,23,0,0,0,1,1,0,0,0,0,0,1,0.73
0,31,0,0,15,0,0,1,0,0,0,0,0,0.97
0,26,0,0,4,1,1,0,0,1,0,0,0,0.7255000000000001
0,24,0,0,2,1,1,1,0,0,0,0,0,0.9966666666666667
0,30,0,0,0,1,0,0,0,1,0,0,0,0.0325
0,27,0,0,1,0,0,1,0,0,0,0,0,0.604857142857143
0,30,0,0,1,0,1,0,0,0,1,0,0,0.12966666666666668
0,34,0,0,5,0,1,1,0,0,0,0,0,0.6508333333333333
0,65,0,0,2,1,0,0,0,1,0,0,0,0.45666666666666667
0,35,0,0,2,0,1,0,0,1,0,0,0,0.29078571428571415
1,29,0,0,1,0,0,0,0,0,1,0,0,0.24853174603174602
0,36,0,2,17,0,1,1,0,0,0,0,0,0.9
0,23,0,0,2,0,1,1,0,0,0,0,0,0.8156944444444444
0,59,0,0,1,1,0,0,0,0,1,0,0,0.09
0,26,0,0,6,0,0,1,0,0,0,0,0,0.7018517316017316
0,38,0,0,1,1,0,0,0,0,0,0,1,0.32878571428571424
1,24,0,0,7,1,1,0,0,1,0,0,0,0.8465714285714285
0,25,0,0,1,0,0,1,0,0,0,0,0,0.4180902985902986
1,27,0,0,0,1,0,0,0,1,0,0,0,0.66
0,44,0,0,1,1,1,0,0,1,0,0,0,0.13166666666666665
1,39,0,0,0,0,0,0,0,0,0,0,1,0.13666666666666666
0,63,0,0,0,1,0,1,0,0,0,0,0,0.17
0,43,0,0,18,0,1,1,0,0,0,0,0,0.99
0,53,0,0,0,1,1,1,0,0,0,0,0,0.5101666666666667
0,48,0,0,3,0,1,1,0,0,0,0,0,0.03
0,25,0,0,5,0,0,1,0,0,0,0,0,0.5113120490620491
0,31,0,1,1,1,0,0,0,0,1,0,0,0.5273333333333333
0,43,0,0,6,1,1,0,0,1,0,0,0,0.38483333333333336
0,21,0,0,0,0,1,1,0,0,0,0,0,0.7243521352252899
0,34,0,0,4,1,1,1,0,0,0,0,0,0.15
0,29,0,0,1,0,0,0,0,0,1,0,0,0.03833333333333334
0,30,0,1,14,0,1,0,0,0,1,0,0,0.93
0,24,0,0,0,0,1,1,0,0,0,0,0,0.32248195432018945
0,47,0,0,3,0,1,1,0,0,0,0,0,0.20333333333333337
0,28,0,0,1,1,0,0,0,1,0,0,0,0.30009523809523797
0,24,0,0,2,0,1,1,0,0,0,0,0,0.9246190476190478
0,30,0,0,17,0,1,1,0,0,0,0,0,0.97
0,25,0,1,2,0,1,1,0,0,0,0,0,0.5487619047619048
1,40,0,0,3,0,1,0,0,1,0,0,0,0.41833333333333333
0,42,0,0,0,1,0,1,0,0,0,0,0,0.15157142857142858
0,58,0,0,1,0,0,1,0,0,0,0,0,0.4286666666666667
0,21,0,0,0,1,0,1,0,0,0,0,0,0.6257888222888222
1,22,0,0,0,0,1,1,0,0,0,0,0,0.4638095238095239
0,27,0,0,8,0,1,1,0,0,0,0,0,0.985
0,41,0,0,2,0,0,0,0,0,1,0,0,0.4516666666666667
0,43,0,0,0,0,0,1,0,0,0,0,0,0.2584285714285714
0,27,0,0,0,1,1,0,0,1,0,0,0,0.3266031746031747
0,69,0,0,6,1,1,0,0,1,0,0,0,0.13
0,21,0,0,0,0,1,1,0,0,0,0,0,0.7243521352252899
0,27,0,0,7,0,1,1,0,0,0,0,0,0.5161190476190476
0,27,0,0,5,0,1,1,0,0,0,0,0,0.8548095238095237
0,58,0,0,1,0,0,0,0,1,0,0,0,0.7641666666666665
1,41,0,0,0,0,0,0,0,1,0,0,0,0.5795
0,29,0,1,8,1,1,1,0,0,0,0,0,0.81
0,59,0,0,1,0,0,1,0,0,0,0,0,0.11416666666666667
1,25,0,0,1,0,0,1,0,0,0,0,0,0.009166666666666667
0,34,0,0,2,1,0,1,0,0,0,0,0,0.14254761904761903
1,20,0,0,0,0,1,0,0,1,0,0,0,0.05583333333333334
0,44,0,0,4,0,0,0,0,1,0,0,0,0.2275
0,35,0,0,4,1,0,1,0,0,0,0,0,0.03666666666666667
0,27,0,0,6,0,1,1,0,0,0,0,0,0.9525
0,33,0,0,4,0,1,0,0,0,0,0,1,0.8766666666666666
0,35,0,0,6,0,1,1,0,0,0,0,0,0.43833333333333335
1,24,0,2,7,1,0,0,0,1,0,0,0,0.6333333333333333
0,34,3,1,13,0,1,1,0,0,0,0,0,0.66
1,26,0,0,0,0,0,1,0,0,0,0,0,0.3378928571428573
0,23,0,0,3,0,1,1,0,0,0,0,0,0.7087380952380952
0,34,0,0,0,0,0,0,0,1,0,0,0,0.6421944444444443
0,66,0,0,1,0,0,0,0,1,0,0,0,0.19
0,37,0,0,6,1,0,1,0,0,0,0,0,0.5098333333333334
0,21,0,0,0,0,1,1,0,0,0,0,0,0.7243521352252899
0,24,0,0,3,0,0,1,0,0,0,0,0,0.9890000000000001
0,49,0,0,7,0,1,0,0,0,0,0,1,0.11
1,21,0,0,1,1,0,0,0,1,0,0,0,0.2948131313131313
0,49,0,0,2,1,0,0,0,1,0,0,0,0.4263333333333334
0,48,0,0,2,0,1,0,0,1,0,0,0,0.2456666666666667
0,20,0,0,0,0,1,1,0,0,0,0,0,0.6030236549226486
0,56,0,0,13,0,0,0,0,1,0,0,0,0.8075
1,31,0,0,1,0,1,0,0,1,0,0,0,0.1433333333333333
0,20,0,0,0,0,1,1,0,0,0,0,0,0.6030236549226486
0,21,0,0,1,0,1,0,0,0,1,0,0,0.1465438662644545
0,28,0,0,6,1,1,1,0,0,0,0,0,0.97
0,32,2,0,15,0,1,0,0,1,0,0,0,0.88
0,52,0,0,1,0,0,0,0,1,0,0,0,0.09366666666666668
0,34,0,0,7,0,1,1,0,0,0,0,0,0.965
0,20,1,0,1,0,0,1,0,0,0,0,0,1.0
0,43,0,0,1,0,1,0,0,1,0,0,0,0.176
0,48,0,0,2,1,1,0,0,1,0,0,0,0.20216666666666666
0,50,0,0,2,1,0,1,0,0,0,0,0,0.10095238095238095
0,20,0,0,1,0,1,0,0,1,0,0,0,0.8627063492063491
0,25,0,0,0,1,1,0,0,1,0,0,0,0.05878571428571429
0,24,0,0,3,0,1,1,0,0,0,0,0,0.9890000000000001
0,22,0,0,1,0,1,0,0,1,0,0,0,0.5126517926517927
1,22,0,0,0,1,0,1,0,0,0,0,0,0.10794444444444445
0,33,0,0,10,1,0,0,0,1,0,0,0,0.4775
0,30,0,0,1,0,0,1,0,0,0,0,0,0.13941224053724052
0,27,0,0,3,0,1,1,0,0,0,0,0,0.9875
0,24,0,0,0,1,1,0,0,1,0,0,0,0.01583333333333333
0,20,0,0,0,0,1,1,0,0,0,0,0,0.6030236549226486
1,30,0,0,1,1,0,1,0,0,0,0,0,0.2889285714285714
0,47,0,0,22,0,1,1,0,0,0,0,0,0.97
0,37,2,0,11,0,0,0,0,0,0,0,1,0.7633333333333333
0,23,0,0,0,1,1,1,0,0,0,0,0,0.3263095238095237
0,54,0,0,1,0,1,0,0,1,0,0,0,0.4906666666666667
0,37,0,0,1,0,1,0,0,0,1,0,0,0.0675
0,28,0,0,2,1,0,1,0,0,0,0,0,0.9466666666666668
0,51,0,0,4,0,1,0,0,1,0,0,0,0.66975
0,28,0,0,4,0,1,1,0,0,0,0,0,1.0
0,39,0,0,0,0,0,0,0,1,0,0,0,0.387313492063492
0,37,0,0,3,1,1,0,0,0,1,0,0,0.4443333333333333
0,23,0,0,0,0,0,0,0,1,0,0,0,0.2835919244154537
0,29,0,0,3,0,1,1,0,0,0,0,0,0.94
1,39,0,0,1,0,1,1,0,0,0,0,0,0.0775
0,32,0,0,8,0,1,0,0,1,0,0,0,0.7
0,54,0,0,1,1,1,0,0,1,0,0,0,0.5261904761904761
1,32,0,0,6,0,1,1,0,0,0,0,0,0.28833333333333333
1,45,0,0,4,0,0,0,0,1,0,0,0,0.48666666666666664
1,46,0,0,1,0,0,0,0,1,0,0,0,0.7028333333333334
1,30,0,0,15,1,1,1,0,0,0,0,0,0.83
0,28,0,0,5,1,0,1,0,0,0,0,0,0.7956904761904761
0,36,0,0,9,0,1,1,0,0,0,0,0,0.26816666666666666
0,49,0,0,1,1,0,1,0,0,0,0,0,0.35245238095238096
0,34,0,0,1,0,0,1,0,0,0,0,0,0.013333333333333332
0,36,1,0,2,1,1,0,0,0,1,0,0,0.6053333333333334
0,67,0,0,0,0,1,0,0,1,0,0,0,0.0
0,43,0,0,3,0,1,1,0,0,0,0,0,0.4259047619047619
0,50,0,0,5,0,1,0,0,0,1,0,0,0.68
0,38,0,0,0,1,0,0,0,0,1,0,0,0.24
0,38,0,0,10,0,1,0,0,1,0,0,0,0.5175
0,31,0,0,6,0,1,1,0,0,0,0,0,0.98
0,52,0,0,0,0,0,1,0,0,0,0,0,0.97
0,50,0,0,4,0,1,1,0,0,0,0,0,0.011666666666666665
0,19,0,0,0,1,1,0,0,1,0,0,0,0.3953971861471861
1,52,0,0,0,1,0,0,0,1,0,0,0,0.03166666666666666
0,28,0,0,1,0,1,1,0,0,0,0,0,0.6691666666666667
0,32,0,0,13,0,1,1,0,0,0,0,0,0.97
0,23,0,0,0,0,0,1,0,0,0,0,0,0.12083261183261178
0,38,0,0,0,0,0,1,0,0,0,0,0,0.3197619047619048
0,20,0,0,0,0,1,0,0,1,0,0,0,0.5016702741702743
0,37,0,0,4,1,1,0,0,1,0,0,0,0.44335714285714284
0,34,0,0,22,0,1,1,0,0,0,0,0,0.9
0,30,0,0,0,0,1,0,0,1,0,0,0,0.2116612554112554
0,43,0,0,0,1,1,0,0,0,1,0,0,0.0025
1,55,0,0,0,0,0,0,0,0,1,0,0,0.05
0,23,0,0,0,1,1,0,0,1,0,0,0,0.00125
1,48,0,0,1,0,0,1,0,0,0,0,0,0.5933333333333333
0,21,0,0,1,0,0,1,0,0,0,0,0,0.6912543360062707
0,66,0,0,0,1,0,0,0,1,0,0,0,0.060833333333333336
0,28,0,0,3,1,0,1,0,0,0,0,0,0.8991666666666666
0,30,0,2,11,0,0,1,0,0,0,0,0,1.0
0,26,0,0,6,0,1,1,0,0,0,0,0,0.7018517316017316
0,45,0,0,38,0,1,1,0,0,0,0,0,0.82
0,27,0,0,5,0,1,1,0,0,0,0,0,0.8548095238095237
0,36,0,0,0,1,0,0,0,0,0,0,1,0.8016666666666667
1,23,0,1,1,1,0,1,0,0,0,0,0,0.68
0,34,0,0,2,0,1,1,0,0,0,0,0,0.44000000000000006
0,49,2,0,13,0,0,1,0,0,0,0,0,0.88
0,57,0,0,1,0,0,0,0,1,0,0,0,0.45949999999999996
0,54,0,0,11,0,0,1,0,0,0,0,0,0.32
0,27,0,0,10,0,0,1,0,0,0,0,0,1.0
1,37,0,0,5,0,1,0,0,1,0,0,0,0.7183333333333333
0,23,0,0,0,0,0,0,0,0,1,0,0,0.3018571428571429
1,50,0,0,0,1,0,1,0,0,0,0,0,0.055
0,34,0,0,0,1,0,0,0,0,1,0,0,0.06
1,35,0,0,1,0,0,1,0,0,0,0,0,0.588
0,27,0,0,0,0,0,1,0,0,0,0,0,0.48219444444444437
0,60,0,0,4,0,0,0,0,0,1,0,0,0.18
1,30,0,0,0,1,0,1,0,0,0,0,0,0.4457142857142858
0,21,0,0,1,0,0,1,0,0,0,0,0,0.6912543360062707
0,25,0,0,2,0,1,0,0,1,0,0,0,0.4361547619047618
0,25,0,0,2,0,1,1,0,0,0,0,0,0.23918650793650786
0,23,0,0,0,0,1,0,0,1,0,0,0,0.2835919244154537
0,61,0,0,15,0,1,1,0,0,0,0,0,0.73
0,36,0,0,11,0,1,1,0,0,0,0,0,0.46
0,28,0,0,3,1,1,0,0,1,0,0,0,0.7948333333333334
1,48,0,0,0,0,0,0,0,1,0,0,0,0.04
0,41,0,0,5,0,0,0,0,1,0,0,0,0.13333333333333333
0,45,0,0,3,0,0,1,0,0,0,0,0,0.6469047619047618
1,38,0,0,0,0,1,0,0,1,0,0,0,0.1
0,36,3,0,19,1,1,1,0,0,0,0,0,0.5216666666666667
0,29,0,0,1,1,0,0,0,1,0,0,0,0.10792857142857144
0,60,0,0,18,1,1,0,0,1,0,0,0,0.65
0,33,0,0,0,0,0,0,0,1,0,0,0,0.5915551948051948
0,28,0,0,2,0,1,0,0,1,0,0,0,0.28595238095238096
0,28,0,0,7,1,1,1,0,0,0,0,0,0.9483333333333335
0,22,0,0,0,0,0,0,0,1,0,0,0,0.31194123850006206
0,23,0,0,1,0,1,1,0,0,0,0,0,0.48953122531063736
0,29,0,0,3,0,1,1,0,0,0,0,0,0.94
0,29,0,0,1,0,0,1,0,0,0,0,0,0.8020873015873015
0,27,0,0,0,1,0,1,0,0,0,0,0,0.31088672438672427
1,24,0,0,7,0,0,1,0,0,0,0,0,0.99
0,48,0,0,11,1,1,1,0,0,0,0,0,0.73
1,37,0,0,0,1,0,1,0,0,0,0,0,0.0
1,42,0,0,2,0,0,1,0,0,0,0,0,0.72
0,37,0,0,2,0,1,1,0,0,0,0,0,0.3395317460317461
1,42,0,0,0,0,0,0,0,1,0,0,0,0.5058333333333332
0,26,0,0,1,1,1,1,0,0,0,0,0,0.43422619047619043
1,39,0,0,10,0,1,0,0,0,1,0,0,0.55
0,31,0,0,2,1,1,0,0,1,0,0,0,0.9043333333333333
0,22,0,0,1,0,1,0,0,1,0,0,0,0.5126517926517927
0,50,0,0,0,0,0,0,0,1,0,0,0,0.42583333333333345
0,31,0,0,3,1,0,0,0,1,0,0,0,0.8133333333333332
0,54,0,0,0,0,0,0,0,1,0,0,0,0.025
0,32,0,2,10,0,1,0,0,1,0,0,0,0.68
0,28,0,0,1,1,0,0,0,0,1,0,0,0.6566666666666666
0,20,0,0,0,0,1,1,0,0,0,0,0,0.6030236549226486
0,23,0,0,4,1,1,1,0,0,0,0,0,0.8921111111111111
0,36,0,0,5,1,1,1,0,0,0,0,0,0.43302380952380964
0,48,0,0,0,1,0,0,0,0,1,0,0,0.48583333333333323
0,47,0,0,1,0,0,1,0,0,0,0,0,0.61
0,27,0,0,0,1,1,0,0,1,0,0,0,0.3266031746031747
0,20,0,0,0,0,1,0,0,0,1,0,0,0.26025824175824175
