Race,Sex,Education,Age,Num. People,log-income,Metro,OWNER,probability
Black,Male,Less than College ,56,1,4.193124598354461,Metro,0.0,0.32772613
White,Female,Less than College ,59,3,4.900913067737669,Metro,1.0,0.7111621
White,Female,Bachelors or Greater,35,1,5.5820633629117085,Metro,1.0,0.6246653
White,Male,Less than College ,50,2,4.664641975556125,Metro,1.0,0.5918549
White,Female,Less than College ,25,5,4.880813592280791,Metro,0.0,0.23453948
White,Female,Less than College ,79,1,4.334453751150931,Metro,1.0,0.66699904
White,Female,Less than College ,85,1,4.303196057420489,Metro,0.0,0.50744915
Black,Female,Less than College ,49,5,4.4281347940287885,Urban,0.0,0.30221757
White,Female,Less than College ,76,1,4.056904851336473,Metro,0.0,0.39223513
White,Female,Less than College ,76,1,4.790285164033242,Metro,1.0,0.71593994
White,Female,Less than College ,45,5,5.204119982655925,Metro,1.0,0.655312
White,Male,Less than College ,44,4,4.863322860120456,Metro,0.0,0.46275362
White,Male,Less than College ,65,3,4.920123326290724,Metro,1.0,0.7720795
White,Male,Less than College ,20,2,4.653212513775344,Metro,0.0,0.20625111
White,Female,Bachelors or Greater,60,1,5.041392685158225,Metro,1.0,0.7088044
White,Male,Bachelors or Greater,44,3,5.079181246047625,Metro,1.0,0.68107253
White,Male,Less than College ,44,3,4.892094602690481,Metro,1.0,0.656826
Black,Male,Less than College ,70,1,4.623249290397901,Metro,0.0,0.42650968
White,Male,Less than College ,50,3,5.0,Urban,1.0,0.7374231
White,Female,Less than College ,27,1,4.380211241711606,Urban,1.0,0.2897076
White,Male,Less than College ,48,3,4.623249290397901,Metro,1.0,0.3205441
White,Female,Less than College ,32,4,4.764848357193411,Metro,0.0,0.34942842
Black,Male,Bachelors or Greater,68,1,5.545307116465824,Metro,0.0,0.42722324
Black,Male,Bachelors or Greater,80,2,5.545307116465824,Metro,0.0,0.540943
White,Female,Bachelors or Greater,44,3,5.181843587944773,Metro,1.0,0.7413965
White,Female,Less than College ,60,2,5.144885418287142,Metro,1.0,0.72967505
White,Male,Bachelors or Greater,70,1,4.2552725051033065,Metro,1.0,0.65380955
White,Male,Less than College ,72,2,4.704150516839799,Metro,1.0,0.6533365
White,Male,Bachelors or Greater,40,3,5.685741738602264,Metro,0.0,0.72734314
White,Female,Bachelors or Greater,30,2,4.903089986991944,Metro,1.0,0.4659643
Black,Female,Less than College ,32,2,4.819543935541868,Metro,0.0,0.3511097
Black,Female,Less than College ,49,2,4.698970004336019,Metro,0.0,0.37117267
White,Female,Less than College ,39,3,4.187520720836463,Metro,0.0,0.18705055
White,Male,Less than College ,63,1,4.041392685158225,Metro,0.0,0.3938707
White,Male,Less than College ,53,2,4.845098040014257,Metro,1.0,0.7066949
Black,Female,Less than College ,61,1,4.477121254719663,Metro,1.0,0.37913063
White,Female,Less than College ,44,1,4.594392550375427,Metro,1.0,0.5891209
White,Female,Bachelors or Greater,61,1,4.477121254719663,Metro,1.0,0.61965746
White,Male,Bachelors or Greater,34,2,5.0,Metro,0.0,0.5134462
White,Female,Less than College ,80,1,4.283301228703549,Metro,0.0,0.46323353
White,Female,Bachelors or Greater,31,3,4.826074802700826,Metro,0.0,0.4468594
White,Female,Bachelors or Greater,40,4,5.023663918197793,Urban,1.0,0.72764426
White,Male,Less than College ,64,1,4.653212513775344,Metro,0.0,0.61406446
White,Male,Less than College ,47,3,4.139879086401237,Metro,0.0,0.5144905
Black,Female,Less than College ,15,5,5.041392685158225,Metro,0.0,0.19469565
White,Female,Bachelors or Greater,57,2,5.323870606540509,Metro,1.0,0.7464925
White,Male,Less than College ,43,4,4.477121254719663,Metro,0.0,0.55432665
Black,Female,Less than College ,48,1,4.414973347970818,Metro,0.0,0.3661825
White,Male,Bachelors or Greater,37,2,5.4996870826184034,Metro,1.0,0.7068161
White,Female,Less than College ,51,1,4.301029995663981,Metro,0.0,0.4090794
White,Male,Less than College ,64,2,4.491361693834273,Metro,0.0,0.63932115
White,Female,Less than College ,65,2,4.724275869600789,Metro,1.0,0.68611574
White,Male,Less than College ,77,2,4.453318340047038,Metro,1.0,0.6750196
Black,Female,Less than College ,57,1,4.494154594018442,Urban,1.0,0.5286193
White,Male,Less than College ,53,3,4.698970004336019,Metro,0.0,0.6225376
Black,Female,Less than College ,46,2,4.781036938621132,Urban,0.0,0.3323901
White,Male,Less than College ,74,2,4.829946695941636,Urban,1.0,0.7870748
White,Male,Less than College ,55,2,4.643452676486188,Urban,1.0,0.6548656
White,Female,Less than College ,59,1,4.672097857935717,Metro,1.0,0.6898057
Black,Male,Less than College ,71,1,5.545307116465824,Metro,0.0,0.32616955
Black,Female,Less than College ,63,1,4.176091259055681,Metro,0.0,0.32835707
White,Female,Bachelors or Greater,27,2,5.323870606540509,Metro,1.0,0.51690733
White,Male,Bachelors or Greater,78,2,4.956024282280677,Metro,1.0,0.7514
White,Female,Bachelors or Greater,36,4,5.342422680822207,Metro,1.0,0.7065467
White,Female,Less than College ,57,4,4.869231719730976,Metro,1.0,0.7029896
White,Male,Bachelors or Greater,53,2,4.666143427291559,Metro,1.0,0.6964576
White,Male,Bachelors or Greater,65,2,4.8401060944567575,Metro,1.0,0.7366056
White,Male,Less than College ,42,2,4.740362689494244,Metro,1.0,0.54097354
White,Male,Bachelors or Greater,80,2,4.713490543093942,Metro,1.0,0.7604407
White,Male,Bachelors or Greater,61,1,4.889861721258188,Metro,1.0,0.6435032
White,Female,Bachelors or Greater,80,1,4.371252629124939,Urban,1.0,0.7090048
Black,Male,Less than College ,31,2,4.832508912706237,Metro,0.0,0.33588815
White,Female,Bachelors or Greater,85,1,5.12057393120585,Metro,0.0,0.69078594
White,Male,Bachelors or Greater,41,1,5.0,Metro,0.0,0.5834016
White,Female,Bachelors or Greater,32,2,5.282848602834645,Metro,1.0,0.6264821
Black,Male,Less than College ,31,4,4.505149978319906,Metro,0.0,0.25687715
White,Male,Less than College ,30,5,4.2552725051033065,Metro,0.0,0.3584122
White,Female,Less than College ,36,5,4.961705784002505,Metro,1.0,0.6543383
White,Female,Less than College ,58,3,4.801609488027319,Metro,1.0,0.53637886
White,Male,Bachelors or Greater,35,3,5.05307844348342,Metro,1.0,0.5770031
White,Female,Bachelors or Greater,60,1,4.477121254719663,Metro,1.0,0.6712662
White,Female,Less than College ,48,1,4.225309281725863,Metro,0.0,0.34778273
Black,Female,Less than College ,31,3,4.301029995663981,Metro,0.0,0.2238266
White,Female,Less than College ,70,1,4.079181246047625,Urban,0.0,0.5789638
Black,Female,Less than College ,21,3,4.222716471147583,Metro,0.0,0.252752
White,Female,Bachelors or Greater,72,2,4.913813852383717,Metro,1.0,0.76429915
White,Female,Less than College ,72,4,4.32221929473392,Metro,1.0,0.5988042
Black,Female,Less than College ,48,1,4.778151250383644,Metro,1.0,0.26228747
Black,Female,Bachelors or Greater,30,4,4.853698211776174,Metro,1.0,0.51393944
Black,Female,Less than College ,40,5,4.623766000133931,Urban,0.0,0.39574248
Black,Female,Bachelors or Greater,58,2,4.707570176097937,Urban,1.0,0.75728995
Black,Female,Less than College ,21,3,4.477121254719663,Metro,0.0,0.20738813
Black,Female,Less than College ,65,2,4.866877814337498,Metro,1.0,0.58187985
White,Male,Less than College ,39,9,4.954281111677642,Metro,1.0,0.6746766
Black,Male,Less than College ,24,2,4.633468455579586,Metro,0.0,0.16024128
White,Male,Less than College ,64,2,4.935507265824713,Metro,1.0,0.760687
White,Male,Bachelors or Greater,65,2,4.431363764158987,Metro,1.0,0.66982675
White,Female,Less than College ,85,2,4.672097857935717,Metro,1.0,0.6717605
White,Male,Less than College ,42,2,4.954242509439325,Metro,1.0,0.5669753
White,Female,Less than College ,68,2,4.655138434811383,Metro,1.0,0.7223671
White,Female,Bachelors or Greater,64,2,5.089905111439398,Metro,1.0,0.761212
White,Female,Bachelors or Greater,78,1,4.218797998111738,Metro,0.0,0.424781
White,Female,Less than College ,63,3,4.357934847000454,Metro,0.0,0.6348665
White,Female,Less than College ,32,2,4.681241237375588,Urban,1.0,0.43300685
White,Female,Less than College ,38,2,4.913813852383717,Metro,0.0,0.5773971
White,Female,Less than College ,32,3,4.176091259055681,Metro,0.0,0.36846015
Black,Female,Bachelors or Greater,54,2,4.623249290397901,Metro,1.0,0.54807496
White,Female,Bachelors or Greater,26,1,4.812913356642856,Metro,0.0,0.24660656
White,Male,Less than College ,68,4,4.4996870826184034,Metro,0.0,0.5017565
White,Male,Bachelors or Greater,32,3,5.57978359661681,Metro,1.0,0.707311
White,Female,Less than College ,66,2,4.897627091290442,Metro,1.0,0.6972746
White,Male,Bachelors or Greater,61,3,5.183269843682805,Metro,0.0,0.6497322
White,Male,Bachelors or Greater,59,2,5.051923916046107,Metro,1.0,0.72573507
White,Male,Less than College ,73,2,4.904715545278681,Metro,1.0,0.7771825
Black,Female,Less than College ,36,4,4.113943352306837,Urban,0.0,0.24262865
White,Male,Less than College ,38,4,5.561101383649056,Metro,0.0,0.6961132
Black,Female,Less than College ,45,3,4.77451696572855,Metro,1.0,0.40740356
White,Female,Less than College ,25,1,4.531478917042255,Metro,0.0,0.28876287
Black,Female,Less than College ,72,3,5.022428371185487,Metro,1.0,0.6508223
White,Male,Bachelors or Greater,56,3,4.740362689494244,Metro,1.0,0.77462256
White,Female,Less than College ,41,4,5.093421685162235,Metro,1.0,0.53483427
White,Male,Less than College ,73,1,4.568201724066995,Metro,1.0,0.6288692
Black,Female,Bachelors or Greater,71,2,4.812913356642856,Metro,1.0,0.68990564
White,Male,Bachelors or Greater,70,1,4.2552725051033065,Metro,1.0,0.65380955
White,Female,Less than College ,71,1,4.079181246047625,Metro,0.0,0.49076512
White,Male,Less than College ,73,1,4.578639209968072,Metro,0.0,0.695445
White,Male,Less than College ,74,3,4.526339277389844,Metro,0.0,0.71291393
Black,Male,Less than College ,57,4,4.695481676490197,Urban,0.0,0.6053919
White,Female,Less than College ,21,2,4.079181246047625,Urban,0.0,0.22441278
White,Female,Less than College ,43,4,4.568201724066995,Metro,0.0,0.46865425
White,Female,Less than College ,80,2,4.707570176097937,Metro,1.0,0.73642415
White,Male,Less than College ,33,1,4.724275869600789,Urban,0.0,0.43094322
White,Male,Less than College ,70,2,5.127299215057708,Urban,0.0,0.67987174
White,Male,Less than College ,30,1,4.447158031342219,Urban,0.0,0.24169359
White,Female,Less than College ,67,4,4.6414741105041,Metro,0.0,0.60857457
White,Female,Less than College ,77,1,4.096910013008056,Metro,0.0,0.4274873
White,Male,Bachelors or Greater,31,1,4.447158031342219,Urban,0.0,0.29271877
White,Female,Less than College ,34,3,4.401400540781544,Metro,0.0,0.2342426
White,Female,Less than College ,44,6,5.176091259055681,Metro,0.0,0.6204623
White,Female,Bachelors or Greater,35,2,5.0,Urban,0.0,0.5556842
White,Female,Bachelors or Greater,24,1,4.47567118832443,Metro,0.0,0.20278126
White,Male,Less than College ,25,2,5.008600171761918,Metro,0.0,0.287705
White,Female,Bachelors or Greater,58,2,4.928907690243952,Metro,0.0,0.7094066
White,Male,Less than College ,51,4,5.060697840353612,Metro,1.0,0.6694306
White,Female,Less than College ,63,1,4.049218022670182,Metro,0.0,0.29492763
White,Male,Less than College ,39,2,4.690196080028514,Metro,1.0,0.33239305
White,Male,Less than College ,60,2,4.8228216453031045,Urban,0.0,0.4656914
Black,Female,Less than College ,43,4,4.380211241711606,Metro,1.0,0.19936816
White,Female,Less than College ,75,1,4.086359830674748,Metro,0.0,0.47773775
White,Female,Bachelors or Greater,26,2,5.346352974450639,Metro,0.0,0.2520792
White,Female,Less than College ,29,2,4.662757831681574,Metro,0.0,0.16357262
White,Female,Less than College ,80,3,4.702430536445525,Metro,1.0,0.7049667
Black,Male,Bachelors or Greater,65,1,4.620136054973758,Metro,1.0,0.55276865
White,Male,Less than College ,62,2,5.143014800254095,Metro,1.0,0.7666083
White,Female,Less than College ,32,4,4.113943352306837,Metro,0.0,0.15446559
White,Male,Less than College ,39,1,4.278753600952829,Metro,0.0,0.3060536
White,Male,Bachelors or Greater,76,1,5.037426497940624,Metro,1.0,0.74358964
White,Male,Bachelors or Greater,56,4,5.187520720836463,Metro,1.0,0.7238469
White,Female,Bachelors or Greater,42,2,5.017033339298781,Metro,1.0,0.6446772
White,Female,Less than College ,69,5,4.852479993636856,Metro,1.0,0.7189015
White,Female,Less than College ,85,1,4.431363764158987,Metro,0.0,0.5142947
White,Male,Bachelors or Greater,26,2,5.204119982655925,Metro,0.0,0.20096411
Black,Male,Bachelors or Greater,46,6,5.113943352306837,Metro,1.0,0.59032595
White,Female,Bachelors or Greater,39,4,5.491361693834273,Metro,1.0,0.6666072
Black,Male,Less than College ,52,1,4.724275869600789,Metro,0.0,0.21307558
White,Female,Less than College ,57,3,5.019531684531255,Metro,1.0,0.7040667
White,Male,Less than College ,53,4,5.095866453478543,Metro,1.0,0.7589062
White,Male,Bachelors or Greater,72,2,4.342422680822207,Metro,1.0,0.76406014
White,Female,Bachelors or Greater,57,1,4.3979400086720375,Metro,0.0,0.4378851
White,Male,Less than College ,33,3,4.653212513775344,Metro,1.0,0.46601945
White,Female,Bachelors or Greater,61,2,4.947433721887051,Metro,1.0,0.6243282
Black,Female,Less than College ,67,2,4.954242509439325,Metro,1.0,0.59257805
White,Male,Bachelors or Greater,31,2,4.832508912706237,Metro,0.0,0.39124593
White,Male,Bachelors or Greater,30,2,5.535294120042771,Metro,1.0,0.40855587
White,Female,Less than College ,80,1,4.518513939877887,Metro,1.0,0.61795825
Black,Male,Less than College ,80,2,4.707570176097937,Metro,0.0,0.64685297
White,Female,Less than College ,65,1,4.204119982655925,Metro,0.0,0.33975178
White,Female,Bachelors or Greater,50,2,4.45484486000851,Metro,1.0,0.5235806
White,Male,Bachelors or Greater,66,2,4.811575005870593,Metro,1.0,0.5114604
White,Male,Bachelors or Greater,33,4,4.903089986991944,Metro,0.0,0.36384144
White,Female,Bachelors or Greater,52,2,4.991226075692495,Metro,0.0,0.63372064
White,Male,Less than College ,35,3,4.792391689498253,Metro,1.0,0.4172778
White,Female,Bachelors or Greater,62,2,5.278753600952829,Metro,1.0,0.7553063
Black,Female,Less than College ,54,4,5.171726453653231,Metro,0.0,0.52013654
White,Male,Less than College ,27,4,4.307496037913213,Metro,0.0,0.3397978
White,Female,Less than College ,85,1,4.14921911265538,Metro,0.0,0.49142456
White,Female,Less than College ,39,1,4.778151250383644,Metro,1.0,0.4562302
White,Male,Less than College ,27,3,4.973127853599698,Metro,0.0,0.5809232
White,Male,Less than College ,32,2,4.982180745596403,Metro,1.0,0.6026995
Black,Female,Less than College ,68,1,4.190331698170292,Metro,0.0,0.21456447
White,Male,Bachelors or Greater,80,3,5.367355921026019,Metro,1.0,0.77372605
White,Female,Bachelors or Greater,36,4,5.311753861055754,Metro,1.0,0.7510382
White,Male,Less than College ,43,2,4.625312450961674,Metro,1.0,0.45847517
White,Male,Bachelors or Greater,32,3,4.857332496431268,Metro,0.0,0.47733447
White,Male,Bachelors or Greater,50,5,5.256236533205923,Metro,1.0,0.76533294
White,Male,Bachelors or Greater,45,1,4.919078092376074,Metro,0.0,0.4850068
White,Male,Less than College ,39,1,4.778151250383644,Metro,0.0,0.44441983
White,Male,Bachelors or Greater,59,3,5.396373727536506,Metro,1.0,0.7805196
White,Male,Less than College ,71,1,4.544068044350276,Metro,1.0,0.6343296
Black,Male,Bachelors or Greater,52,1,5.107209969647869,Metro,1.0,0.5973485
White,Male,Bachelors or Greater,60,4,5.259091928632214,Metro,1.0,0.78350383
White,Male,Less than College ,40,5,5.5003737143533735,Metro,1.0,0.70162874
White,Female,Bachelors or Greater,41,2,5.519827993775719,Metro,1.0,0.7197315
White,Male,Bachelors or Greater,37,4,5.464638559095033,Metro,1.0,0.76909107
Black,Male,Less than College ,73,1,4.6414741105041,Metro,1.0,0.5587609
White,Female,Bachelors or Greater,42,3,5.050766311233042,Metro,1.0,0.6893873
White,Female,Bachelors or Greater,31,3,4.778151250383644,Metro,1.0,0.5183502
Black,Female,Less than College ,36,7,4.340444114840119,Metro,0.0,0.121517345
White,Female,Less than College ,48,3,4.6020599913279625,Metro,0.0,0.34094316
White,Male,Less than College ,36,2,4.594392550375427,Metro,0.0,0.4520106
White,Female,Less than College ,77,1,4.371067862271737,Metro,1.0,0.6995306
White,Male,Less than College ,65,3,5.173186268412274,Metro,1.0,0.69533354
White,Male,Bachelors or Greater,27,2,5.130333768495007,Metro,1.0,0.50449634
White,Male,Less than College ,52,1,4.755874855672492,Metro,1.0,0.5010224
Black,Female,Less than College ,50,2,4.586587304671755,Metro,0.0,0.35376236
White,Female,Less than College ,85,1,4.283301228703549,Metro,0.0,0.3729498
White,Female,Less than College ,23,3,5.012415374762433,Metro,0.0,0.2920306
White,Female,Bachelors or Greater,35,2,5.155336037465061,Metro,1.0,0.6546355
White,Male,Bachelors or Greater,56,4,5.532754378992498,Metro,1.0,0.76670456
White,Male,Less than College ,70,2,4.5843312243675305,Metro,0.0,0.61270463
White,Male,Bachelors or Greater,39,4,4.989449817666692,Urban,0.0,0.6235068
White,Male,Bachelors or Greater,40,5,5.024936968037443,Metro,1.0,0.74479383
White,Male,Bachelors or Greater,63,2,4.879669205632053,Metro,1.0,0.7623719
White,Female,Less than College ,28,5,5.004321373782642,Metro,0.0,0.31564257
Black,Female,Less than College ,32,4,4.146128035678238,Urban,0.0,0.24446212
White,Female,Less than College ,35,5,4.342422680822207,Metro,0.0,0.33446318
White,Male,Bachelors or Greater,76,3,4.676693609624866,Metro,1.0,0.76938725
White,Male,Bachelors or Greater,59,4,5.477121254719663,Metro,1.0,0.77943605
White,Female,Less than College ,56,2,4.305351369446623,Urban,0.0,0.41489884
White,Male,Less than College ,42,1,4.017033339298781,Metro,0.0,0.4741015
White,Male,Less than College ,45,1,4.623456048069934,Metro,1.0,0.47466135
Black,Male,Bachelors or Greater,42,3,4.749736315569061,Metro,0.0,0.40235496
White,Female,Bachelors or Greater,52,3,5.163161374977018,Metro,1.0,0.74625355
White,Female,Less than College ,63,2,4.903089986991944,Metro,1.0,0.64552736
White,Female,Bachelors or Greater,61,1,4.623042434246382,Metro,1.0,0.60562956
White,Female,Less than College ,51,3,4.301029995663981,Urban,0.0,0.35669965
White,Female,Less than College ,34,4,4.079181246047625,Metro,0.0,0.11558046
Black,Male,Bachelors or Greater,60,2,4.985875357308394,Urban,1.0,0.7235168
White,Female,Less than College ,78,5,4.979548374704095,Metro,1.0,0.82473546
White,Female,Less than College ,79,1,4.075546961392531,Metro,1.0,0.47967103
White,Male,Less than College ,27,1,4.748188027006201,Metro,0.0,0.4164591
White,Female,Less than College ,45,4,4.973127853599698,Metro,1.0,0.62331414
White,Male,Bachelors or Greater,47,4,4.794488046659169,Metro,1.0,0.46978378
White,Male,Less than College ,72,3,5.103803720955957,Metro,1.0,0.7115984
White,Male,Bachelors or Greater,68,2,4.944482672150168,Urban,1.0,0.78640807
White,Male,Less than College ,28,2,4.973127853599698,Metro,1.0,0.43096194
White,Male,Bachelors or Greater,43,1,4.954242509439325,Metro,1.0,0.59941745
White,Female,Less than College ,67,2,4.876391061819188,Metro,1.0,0.72598124
White,Male,Bachelors or Greater,60,1,4.056904851336473,Metro,0.0,0.46679023
White,Male,Less than College ,62,3,4.9084850188786495,Metro,1.0,0.69588566
Black,Male,Less than College ,73,1,4.021189299069938,Metro,0.0,0.21723355
